District Code, District Name, Bank Code, Bank Name, Branch Name, Branch Code, Routing No
401, BAGERHAT, 010, AGRANI BANK LTD., BADHAL BAZAR, 004, 010010048
401, BAGERHAT, 010, AGRANI BANK LTD., BHANGA BAZAR, 006, 010010064
401, BAGERHAT, 010, AGRANI BANK LTD., BAGERHAT, 007, 010010077
401, BAGERHAT, 010, AGRANI BANK LTD., CHULKATI BAZAR, 028, 010010280
401, BAGERHAT, 010, AGRANI BANK LTD., DEYPARA BAZAR, 037, 010010372
401, BAGERHAT, 010, AGRANI BANK LTD., GOALMATH, 061, 010010619
401, BAGERHAT, 010, AGRANI BANK LTD., HERMA BAZAR, 067, 010010677
401, BAGERHAT, 010, AGRANI BANK LTD., JATRAPUR BAZAR, 070, 010010701
401, BAGERHAT, 010, AGRANI BANK LTD., MAIN ROAD, 085, 010010851
401, BAGERHAT, 010, AGRANI BANK LTD., MONGLA PORT, 097, 010010972
401, BAGERHAT, 010, AGRANI BANK LTD., MORELGANJ, 103, 010011034
401, BAGERHAT, 010, AGRANI BANK LTD., MUNIGANJ, 106, 010011063
401, BAGERHAT, 010, AGRANI BANK LTD., POLERHAT BAZAR, 112, 010011126
401, BAGERHAT, 010, AGRANI BANK LTD., SANNASHY BAZAR, 127, 010011276
203, BANDARBAN, 010, AGRANI BANK LTD., AZIZ NAGAR, 007, 010030073
203, BANDARBAN, 010, AGRANI BANK LTD., BANDARBAN BAZAR, 016, 010030165
304, BARGUNA, 010, AGRANI BANK LTD., AMTALI, 004, 010040047
304, BARGUNA, 010, AGRANI BANK LTD., BARGUNA, 013, 010040139
304, BARGUNA, 010, AGRANI BANK LTD., GAZIPURHAT, 037, 010040371
304, BARGUNA, 010, AGRANI BANK LTD., KAKCHIRA, 049, 010040492
304, BARGUNA, 010, AGRANI BANK LTD., KAUNIA, 052, 010040526
304, BARGUNA, 010, AGRANI BANK LTD., NALIBANDAR, 064, 010040647
304, BARGUNA, 010, AGRANI BANK LTD., TALTALI BAZAR, 073, 010040739
306, BARISHAL, 010, AGRANI BANK LTD., DHAMURA BANDAR, 005, 010060056
306, BARISHAL, 010, AGRANI BANK LTD., RAHUTHKATI BANDAR, 008, 010060085
306, BARISHAL, 010, AGRANI BANK LTD., RANIR HAT, 014, 010060148
306, BARISHAL, 010, AGRANI BANK LTD., SATLA BAZAR, 017, 010060177
306, BARISHAL, 010, AGRANI BANK LTD., BANARI PARA, 025, 010060256
306, BARISHAL, 010, AGRANI BANK LTD., BATAJORE, 037, 010060377
306, BARISHAL, 010, AGRANI BANK LTD., BOTTALA, 052, 010060522
306, BARISHAL, 010, AGRANI BANK LTD., BUKHAI NAGAR, 055, 010060551
306, BARISHAL, 010, AGRANI BANK LTD., CHAWK BAZAR, 070, 010060706
306, BARISHAL, 010, AGRANI BANK LTD., GOURNADI, 082, 010060827
306, BARISHAL, 010, AGRANI BANK LTD., MOTHERKATHI, 140, 010061400
306, BARISHAL, 010, AGRANI BANK LTD., MULADI, 145, 010061455
306, BARISHAL, 010, AGRANI BANK LTD., PAISHARHAT, 160, 010061600
306, BARISHAL, 010, AGRANI BANK LTD., PURAN BAZAR, 169, 010061697
306, BARISHAL, 010, AGRANI BANK LTD., SADAR ROAD, 181, 010061813
306, BARISHAL, 010, AGRANI BANK LTD., TORKI BANDAR, 221, 010062212
306, BARISHAL, 010, AGRANI BANK LTD., ULANIA, 223, 010062238
309, BHOLA, 010, AGRANI BANK LTD., BANGLABAZAR, 007, 010090071
309, BHOLA, 010, AGRANI BANK LTD., BHOLA, 010, 010090105
309, BHOLA, 010, AGRANI BANK LTD., BORHANUDDIN, 019, 010090192
309, BHOLA, 010, AGRANI BANK LTD., CHAR FASSION BAZAR, 025, 010090255
309, BHOLA, 010, AGRANI BANK LTD., CHAR SHASHI BHUSON, 028, 010090284
309, BHOLA, 010, AGRANI BANK LTD., DAULATKHAN, 037, 010090376
309, BHOLA, 010, AGRANI BANK LTD., KALINATH RAER BAZAR, 055, 010090550
309, BHOLA, 010, AGRANI BANK LTD., KHAIRHAT, 061, 010090613
309, BHOLA, 010, AGRANI BANK LTD., LALMOHAN, 070, 010090705
309, BHOLA, 010, AGRANI BANK LTD., WAPDA, 103, 010091038
610, BOGRA, 010, AGRANI BANK LTD., BADURTALA, 016, 010100161
610, BOGRA, 010, AGRANI BANK LTD., BAGBARI, 019, 010100190
610, BOGRA, 010, AGRANI BANK LTD., BHATRA, 028, 010100282
610, BOGRA, 010, AGRANI BANK LTD., BOGRA CANTONMENT, 043, 010100437
610, BOGRA, 010, AGRANI BANK LTD., CHAMRUL, 064, 010100640
610, BOGRA, 010, AGRANI BANK LTD., CHELOPARA, 076, 010100761
610, BOGRA, 010, AGRANI BANK LTD., DEMAJANI, 082, 010100824
610, BOGRA, 010, AGRANI BANK LTD., DHUNAT, 088, 010100882
610, BOGRA, 010, AGRANI BANK LTD., GHORADHAPAHAT, 109, 010101094
610, BOGRA, 010, AGRANI BANK LTD., GOKUL, 121, 010101210
610, BOGRA, 010, AGRANI BANK LTD., KHANDER, 160, 010101607
610, BOGRA, 010, AGRANI BANK LTD., MADLA, 175, 010101757
610, BOGRA, 010, AGRANI BANK LTD., MAJHIRA, 184, 010101849
610, BOGRA, 010, AGRANI BANK LTD., MIRJAPUR, 190, 010101902
610, BOGRA, 010, AGRANI BANK LTD., NAMAJGHAR, 196, 010101960
610, BOGRA, 010, AGRANI BANK LTD., NANDIGRAM, 202, 010102022
610, BOGRA, 010, AGRANI BANK LTD., NISHINDARA, 211, 010102114
610, BOGRA, 010, AGRANI BANK LTD., PORADAHHAT, 220, 010102206
610, BOGRA, 010, AGRANI BANK LTD., RAJABAZAR, 226, 010102264
610, BOGRA, 010, AGRANI BANK LTD., SAPTAPADI MARKET, 244, 010102448
610, BOGRA, 010, AGRANI BANK LTD., SHERPUR, 274, 010102743
610, BOGRA, 010, AGRANI BANK LTD., SHONKA, 283, 010102835
610, BOGRA, 010, AGRANI BANK LTD., SIBBATI, 286, 010102864
610, BOGRA, 010, AGRANI BANK LTD., SONATALA, 295, 010102956
610, BOGRA, 010, AGRANI BANK LTD., SULTANGANJ, 304, 010103047
610, BOGRA, 010, AGRANI BANK LTD., TALORA, 307, 010103076
